BIT	FILTER	WEIGHT	NEURON
        12	        51	       396	       109
        20	        33	       779	        21
         6	        52	       664	        84
         7	        53	       626	       138
        10	        29	       276	        44
        17	        17	       182	       152
        28	        17	        74	        35
         2	        50	        10	       142
         5	        22	       295	        42
        23	        18	       327	        58
         7	        63	       326	        18
        20	        56	       300	       118
        22	        32	       706	        91
        17	        24	        47	        53
        10	        25	        72	         0
        11	        50	       250	        49
         8	        34	       619	       168
        20	        18	       254	       111
        17	        36	       105	       149
        29	        54	       611	       143
        22	        37	        90	       132
        29	        41	       661	        31
         2	        30	       787	       105
        16	        46	       414	        49
        16	        41	       441	       168
        27	        23	       256	         8
        27	        41	       785	        68
        31	        20	       651	       138
        25	        37	       574	       167
        14	        51	        94	       168
        17	        50	       670	       114
         0	        28	       251	       120
         6	        20	       724	        25
        11	        52	       430	       106
        30	        31	       287	       189
        20	        10	       179	        73
        16	        49	       516	        74
         5	         3	       655	       146
        21	        45	        56	       177
         9	        19	       581	       179
         7	        57	        49	        98
        14	        31	       761	        60
        30	        56	       553	        86
         2	        61	         0	       114
        14	         4	       433	        47
         7	         0	       746	       176
        13	        34	       593	        62
        22	        22	       326	       153
        16	        23	       656	       166
        22	        41	        10	        68
         1	        19	       167	       183
        16	         7	       630	        91
        11	         7	       370	       179
         7	        28	       687	        36
        31	        33	       362	       137
        23	        48	        50	        87
         7	         2	       517	        97
        11	        15	       274	        24
         3	        25	       560	        67
         0	         6	       786	       127
        13	         5	        62	       124
         1	        14	        40	       192
        15	        50	        85	       134
         3	        40	       686	        10
        10	        51	       680	         2
         3	        26	       130	       122
        19	        18	       729	        51
        24	        12	        62	       185
        17	        61	       505	         6
        11	         1	       403	        74
        20	        40	       256	       191
        16	        14	       257	       107
         2	        41	       209	        29
         3	        51	       619	        86
         6	         4	       361	       194
        16	         8	       708	        65
         5	        61	       500	       136
        31	        39	       490	        11
        15	        42	       266	        92
        25	        11	       155	       119
        21	        44	       128	        52
        31	        43	       655	        93
        15	        56	       356	       148
         0	         8	       417	        61
         5	        53	       469	        96
        28	        31	       215	        88
        10	         1	        44	        83
        13	        39	       542	        30
        19	        62	       730	        82
         9	        41	       408	       152
         2	        28	       696	       150
         4	        58	       392	        25
        15	        61	       462	       132
        29	        37	        24	        51
         7	         4	       234	        52
        11	        40	       342	       134
         6	        48	       304	       155
        26	         8	       199	        96
         4	         0	       318	       112
        26	         6	       178	        65
         4	        32	       405	        49
         5	        45	       680	       132
        17	        50	       352	        24
        26	        22	       506	        32
         7	        11	       367	       181
        19	        54	       253	        76
        22	        59	       320	       128
         2	        50	       282	       126
        18	        15	       455	       136
        29	        47	       292	        10
         1	        37	       747	       139
        27	        37	       539	       166
        16	        10	        99	        72
         0	         0	       700	       143
        28	        60	       679	       166
        15	         1	       516	        69
        17	        43	       569	        50
        26	        30	       348	       159
         3	         7	       406	       118
        13	        49	       769	       181
        27	        36	       609	       151
         5	        29	        82	         5
        26	        26	       159	       177
        27	        35	       266	       164
        14	        36	       506	       100
         2	        55	       515	       193
        30	        25	       515	        91
        10	         4	       425	       129
         9	        42	        64	        86
         8	        51	        79	        50
        13	        14	       139	        56
        17	        53	       725	        83
        25	        15	       519	       147
         6	        10	       512	       141
         3	        36	       752	       105
         8	        57	       210	       165
         4	        50	       255	        40
         5	        14	       398	        70
        28	        57	       635	        41
        14	        48	       652	       100
        31	        51	       195	       162
        29	         4	       235	       156
         8	        59	       749	       112
        21	        63	       482	       153
        18	         1	       453	       135
        16	        19	       554	       188
        12	        37	        90	        58
        21	         6	       738	        24
        26	        38	       538	        15
        10	        37	       696	       142
         1	        37	       290	       146
         5	         4	       175	        63
         6	        52	       558	        14
         7	        56	       386	        43
        29	        60	       269	       130
         3	        16	       455	       117
        22	        33	       468	         4
         7	        12	       722	       132
        18	        20	       126	        75
        25	        45	       270	       119
         1	        28	       789	       120
        21	        55	       795	        58
        20	         8	         5	        47
        24	        44	       372	        34
        13	        40	       462	        32
        21	        32	       668	       183
        21	        58	       798	        78
         7	        44	       493	        16
         8	        34	       752	       161
        25	        43	       144	        77
        20	        53	       452	        40
         1	        56	       219	       194
         1	         9	         3	       182
        10	        63	       253	       183
        26	        59	       461	       173
         7	        26	       202	       135
        28	        26	       365	       141
         6	        29	       675	       186
        18	        39	       422	        43
         0	        33	       353	        81
        11	        36	        55	        13
         4	        20	       116	       162
        15	        33	        63	       110
        27	        41	       101	       175
         4	        50	       780	        82
        15	        47	       708	       109
        23	        10	       276	        47
        12	        54	       568	       119
        26	        15	        44	       138
         3	        32	       412	       110
         1	        28	       424	       152
         5	        13	        51	       181
         0	        63	       755	        59
        15	        23	       529	       158
         2	         5	       221	       142
        27	        53	        69	       190
         4	        17	       692	       107
        17	        49	       441	       154
        13	         1	       142	         6
        14	        33	       508	        98
         0	        47	       478	       119
         7	        15	       501	       133
        20	        18	       695	       180
         7	        28	       678	        99
        13	        58	       530	       166
        11	        11	       624	        84
        12	        62	       299	        39
        31	        39	       585	       155
        22	         7	       367	        33
        22	        36	       326	        27
        23	        61	        91	       126
        25	        33	       394	       138
        27	        60	       676	        51
         8	        52	       383	        36
        18	        10	        79	       129
        17	        25	       433	       144
         0	        32	       613	       171
         4	        44	       194	        31
         9	        29	       282	        83
        30	         4	        73	        97
         0	        46	       416	        80
         2	        32	       541	       109
        10	        12	       262	       164
         5	        55	       388	       150
        23	         9	        29	        16
        21	        31	       791	       175
        28	        17	       514	        94
        21	        43	       563	        54
        25	        52	       606	       148
        20	        59	       369	        42
         8	        55	       442	       193
        15	        62	       339	       162
         8	        48	       354	       105
        15	        58	        92	        55
        11	        62	       421	        17
        10	        25	       183	       147
        13	        21	        31	        17
        17	        16	        63	        49
         8	        58	       582	       127
        24	        58	       797	        56
        10	        32	       606	        34
        26	        26	       293	        77
        25	        11	       102	       167
         4	        61	       646	        61
        19	         6	       114	        20
        22	        49	       189	        30
        11	         3	       437	       136
        29	        19	       548	        32
        19	        34	       578	       169
        29	        39	       114	       142
        18	        57	       569	        58
        22	        31	         7	        25
         5	        25	       653	       128
        11	        42	       698	        18
        14	        48	       762	       187
         3	        63	       755	        42
         1	        53	         3	       122
        29	        53	        84	        71
        14	        13	        38	       125
        13	        45	       174	       162
         7	        28	       302	        62
         6	        41	         8	        56
        25	        35	       608	        44
         2	        51	       178	        59
         9	        21	       226	        98
        10	        22	       405	        89
         4	        59	       382	       145
         9	        12	        67	        80
         8	        50	        34	       147
        27	        10	       355	        88
        13	         3	        80	        55
        23	        34	       659	       132
        23	        53	       486	        45
        11	        59	       730	       171
        23	        24	        64	        48
         5	        36	       496	        49
        22	        18	       124	         1
        28	        32	       741	        54
         3	        53	       153	        34
        23	        44	       154	       166
         1	        32	       111	       153
        28	        10	       668	        55
         2	        29	       563	       119
         1	         3	       341	        67
        21	        17	       648	       141
        17	        45	       571	        41
         2	        21	       623	        29
         1	        42	       263	       135
        10	        22	       592	       190
         0	        44	       441	       159
         9	        44	       362	        98
        15	        31	       737	        76
        17	        41	        86	       114
        22	        49	       119	       176
         6	        39	        81	        92
        17	        56	       619	        63
        15	        59	       514	       183
         7	        59	       626	       113
         8	        61	        91	        31
        28	        29	       796	        69
         6	        18	       240	        61
         3	        39	        85	       106
        14	         7	       210	        83
        31	        61	       283	       186
        24	        61	       734	       147
        24	        48	       144	       112
        13	        12	       408	       134
         9	        20	       215	       171
         6	         7	       780	       161
        15	        34	       115	       141
         9	         5	       157	        96
         2	        24	       791	       106
        21	        53	       570	       189
         5	        42	        78	       127
        22	        38	       541	       155
        26	        52	       303	       120
        28	        27	       169	       183
        29	        61	       360	        86
         2	         5	       239	        93
        29	         6	       671	        58
        27	        25	       512	        64
         4	        46	       339	        78
        20	        16	       282	       102
         5	        41	       558	        45
         4	        55	        44	        98
        20	        20	       712	        15
        26	        55	       252	       191
        29	        59	       298	       120
        21	        42	        89	        93
        24	        12	       243	        16
        29	        45	       154	       130
        22	        40	       611	        79
        31	        15	       509	       128
         3	         5	        43	        29
        29	         7	       277	        14
         2	        31	       403	       119
         9	        12	       624	       141
        24	         4	       269	       193
        17	         7	       791	        32
        15	        58	        99	       170
         9	         0	       546	        69
         5	        45	        10	        26
        20	        31	       221	        95
        30	        48	       654	        79
        28	        63	        40	       144
         3	        53	       682	         8
        28	        33	        60	       175
        28	        31	        58	       121
        31	        28	       562	        41
        10	        61	       263	        34
        28	        36	       149	        67
        20	         4	       482	        80
         3	        11	       325	        78
         0	        47	       282	        65
        16	        55	       392	        96
        22	        34	       754	        18
        31	        36	       283	        93
         1	         2	       647	        82
         7	        61	       537	        79
         1	        59	       428	       172
         6	        49	       522	        31
         0	         4	       196	       188
        27	        44	       413	        42
        15	        47	        40	       190
        19	        35	       663	       145
         5	        30	       787	       192
        27	        12	       104	       132
         7	        20	         0	       154
         5	        42	       565	        41
        15	        25	       501	       130
         5	        50	       796	       120
         1	         4	         2	       117
         7	        57	       650	         5
        24	        29	       441	        99
         9	        33	       656	         8
        21	        48	        94	       102
        27	        19	       671	        82
        12	        53	        52	       110
         7	        49	       326	        29
        21	        41	       446	        73
         2	        40	       234	       174
         5	         3	       622	       126
         5	        62	       254	        30
        14	        29	       725	        81
        16	        52	       435	        73
         9	         8	       367	       141
        25	        21	        90	       178
        30	        24	       331	        37
         0	        53	       155	        29
        25	         9	        19	        18
         7	        17	       376	        26
        14	        13	       415	       119
         2	        19	       124	        59
        27	        11	       636	        12
         0	        22	        66	        83
        14	        14	       640	       166
         3	        27	        19	       132
         5	        38	       282	        84
        24	        19	       226	       114
         0	        34	       229	        94
        21	         1	       334	         0
        12	        10	       324	        61
         1	        38	       652	        79
        20	        12	        62	       172
         7	        49	        20	       124
        24	        15	       697	        80
         2	        27	       182	       138
        29	        60	       293	       194
        29	        51	       354	       170
        29	        38	       151	        90
        13	         3	       366	         5
        15	        44	       473	        54
        29	        46	       355	        57
        29	        60	       581	       151
        23	        60	        97	       173
        24	         6	       263	        85
        25	        10	       159	        79
        16	        54	       277	       173
        25	         3	       639	       188
        15	        56	       159	       173
         6	         2	       482	        51
        30	         8	       130	       141
         4	        36	       650	        40
        10	        50	       753	        68
        28	        49	       219	        28
         7	        48	       362	       177
        20	        41	       265	        79
         1	        40	       560	       156
        10	        51	       139	        52
        27	        46	       414	       131
        18	        40	       251	        60
        26	        44	       768	        58
        29	        59	       259	        81
        12	        45	       646	        24
        22	        15	       451	        31
        24	        52	       575	       170
         7	        43	       491	       162
        25	         9	       513	       179
        17	        28	       263	       132
         8	         8	       130	        18
         3	        37	       139	        55
        18	        17	       495	       100
         0	        19	       192	       184
         7	        31	       315	       178
        10	         6	       592	       187
        15	        49	        14	       132
        13	        54	       748	        89
        30	        47	       731	        89
        20	        38	       657	       163
        23	         0	       783	        16
        19	        47	       592	       138
        15	        43	       488	        97
        17	        24	       605	       144
         9	        11	       225	        74
         1	        13	       556	       115
        28	        39	       257	        49
        14	        50	       568	       101
        18	         7	       477	        86
        23	        14	       640	       146
        25	        41	       703	       175
         1	        28	       235	        67
         8	        44	       769	       125
        26	        13	       297	       150
        21	        42	       423	        27
        28	        63	       200	        82
         7	        38	       116	       102
        20	        53	       196	       149
        30	        35	       536	       147
         0	         4	        10	        84
        16	        12	       625	         2
        25	        58	       769	       166
         4	        40	       657	        12
         8	        26	       591	        39
         0	        35	       653	        40
        24	        49	       577	       106
        20	        58	       310	        24
        30	         0	       412	       130
        12	        14	       601	        66
         8	        58	       788	        93
         2	         6	       589	        94
         0	        60	       281	       116
         0	        38	       692	       180
        23	        53	       463	       168
        15	         5	       160	        53
         5	        61	       700	       154
        11	        53	       664	       163
        15	        44	       416	       105
        18	        46	        92	        78
        10	        21	       658	       130
        28	         6	       739	        47
        28	        50	       191	       135
        23	         0	       633	       120
        29	        53	        78	       148
        10	         6	       315	        25
        19	        28	       554	       145
        10	         6	       408	        96
        28	        42	        63	        92
        17	         2	       587	        89
        20	        43	       600	         7
        11	        49	       615	       140
         6	        54	       304	        12
        28	        11	       169	        31
         7	        20	       437	       157
        26	        13	       230	       114
        23	        37	       238	       104
         7	        58	       277	       127
         5	        46	       294	        24
        31	        45	       760	        46
         3	        40	       438	        96
        19	         0	       783	        39
        20	        36	       492	       150
        17	        50	       613	       129
        23	        51	       369	       162
        13	        39	        25	        78
        21	        31	       290	        60
        13	        26	       122	        80
         2	        17	       784	        90
        17	        32	       305	        21
         4	        29	       371	       158
        16	        56	       447	       115
        12	        48	       166	         1
        23	        63	       364	        24
        31	        14	       641	        60
         9	        27	       284	        31
        12	        45	       289	       113
        13	        50	       162	       181
        16	        54	       647	       108
        14	        38	        71	        34
        23	        45	       532	        22
        13	        32	       635	        52
        14	        60	        88	         3
        23	        20	       547	        24
         1	        36	       577	        54
        23	        36	       224	        87
        26	        39	       359	         8
        14	        14	       611	       169
        28	        23	       723	        25
        23	        46	       245	        33
        10	        45	       317	        82
         1	         0	       358	       115
         4	         7	       593	        87
        11	        49	       674	        21
        25	        41	       558	         3
        24	        49	       204	        28
         8	        31	       189	       127
        14	        18	       612	       120
        31	        33	       314	       192
         1	         0	        35	       102
         8	        21	       737	       127
         6	        36	       601	        75
        13	         7	       710	       125
        24	        18	        57	        32
        18	        22	       159	        80
         8	        35	       216	        87
         5	        51	       584	       106
        19	        43	       748	       171
         0	        46	       367	        71
        18	        40	       646	        99
        15	        45	       421	        71
        31	        30	       455	       105
        21	        38	       753	       113
         9	        42	       165	       178
        29	        45	       245	        16
        24	        33	       492	       169
        15	        59	       672	        61
         3	         6	       641	        34
        19	        38	       217	       147
         4	        32	        68	       105
         6	        22	       631	       131
         0	        28	       126	       129
         9	        19	       173	         5
        20	        57	       538	       192
        20	        26	       389	        31
         1	        38	       169	       124
        12	        34	       711	        61
         2	        44	       458	       124
         2	        33	       184	        62
        29	        54	       607	       178
         9	        12	         8	       177
         6	        34	       353	        50
        29	        39	       242	       178
        13	        59	       402	       182
        30	        58	       459	        16
         6	        53	       265	       140
        23	         1	       202	        72
        23	         9	       795	       160
        21	         3	       797	         3
         5	        63	       726	       126
         6	        40	       704	       123
         3	        51	       141	       161
        13	        56	       546	       163
        14	        11	       123	       181
        12	        37	       793	       151
        14	        52	       323	        35
        23	         0	       127	       161
        31	        53	       607	        93
        29	         0	        89	       160
        19	        38	       194	        24
        31	        36	       371	       109
        15	        46	       498	        51
        19	        43	       798	       169
         0	         1	       644	       175
         1	        35	        20	        77
        24	        52	       486	        17
        20	        63	       566	       103
         6	        56	       263	       105
        28	        58	       658	       139
         8	        36	       582	       183
        15	         4	       316	        87
         5	         0	         7	        82
         4	        59	       519	       108
        15	        46	       626	        63
        13	        40	       362	        55
         0	        17	       696	       124
        11	        42	        71	       187
        14	        13	       494	        26
        17	        42	       397	        26
        11	        20	       444	        71
        16	        36	       331	        63
        18	        61	       291	        47
         5	        45	       659	       169
        31	        43	       769	       166
        22	         8	       286	         8
        21	        44	       546	        86
        23	        16	       124	        66
         4	        25	        81	       148
        29	        28	       180	        15
        26	        23	       270	       183
         4	        33	       485	        39
        13	         6	       558	       191
        15	        12	       583	        96
        24	        10	       427	        51
        26	         7	       337	        54
         0	        34	       115	       109
        31	        39	       620	        57
        30	        59	       280	        98
        28	        29	       614	        37
         4	        20	       716	       175
         0	        20	       663	       184
        30	        34	       712	       148
        10	        57	       182	       110
        28	        41	       680	       131
        16	        20	       308	        90
        15	        12	        17	       184
        10	        23	        85	       146
        11	        34	        97	       115
        22	        24	        67	       100
        27	        11	       492	        53
         5	         2	       719	       101
        12	        23	       508	       192
        12	        48	       139	       167
        28	        28	        71	       146
        19	        61	       692	       118
        31	        53	       521	       157
        14	        12	       553	        73
        24	        53	       462	        81
        23	        29	       158	       175
        21	        58	       224	       113
        10	        43	       188	       110
         7	         4	       461	       178
         1	         1	       312	        92
        23	         1	       501	       189
        13	        30	       366	        13
        19	        60	       354	       134
        25	         0	       334	       106
        26	        14	       687	       192
        25	        12	       267	        76
        16	        24	       314	         5
        25	        18	       145	        92
        19	        38	       789	        24
         4	        35	       742	        75
        31	         8	       641	       125
         9	        15	       199	        95
        29	        55	       168	        18
         3	        51	       662	       143
        11	        16	       516	        80
         2	        21	       437	        13
        27	        10	       566	        91
        14	        28	       726	       161
         4	        55	       422	        49
         7	        14	        17	       128
         5	        25	       795	        88
        12	        17	       283	        59
         2	        63	       443	        24
        20	        48	       218	        15
        27	        16	       590	        41
        12	        36	       118	        96
        27	        61	       222	       166
        11	        47	       263	        56
         8	         2	       504	       132
        19	        51	        43	         5
        18	        38	       250	         2
        23	        52	       533	       122
         4	        35	       731	       184
         7	        49	       448	       102
        14	        62	       261	        29
        13	        12	       585	       173
        14	        33	        41	        73
        20	        52	       407	        90
        27	        17	        76	       138
         5	        33	       580	       101
         4	        63	       377	        79
        16	        57	       110	        51
        24	        51	       568	        93
        31	        34	       251	        57
         3	        36	       782	       168
        25	         5	       446	       128
        22	        43	       198	       123
        12	        42	       356	       145
         9	        29	       252	       145
        23	        10	       120	        15
        29	        17	        20	       148
        19	        15	       361	       158
        20	        56	       718	        53
        29	        45	        97	       164
        24	        39	       463	        20
        17	        20	       501	       134
        17	        18	        83	         0
        28	        12	       183	       170
        29	        12	       438	        80
        27	        32	        38	       115
        24	        21	       540	       137
         2	        29	        73	        78
         4	        25	       446	       177
        13	        52	       687	       178
         6	        35	       391	       162
        15	        62	       636	         8
        10	        19	       220	       118
        19	        34	       405	       135
        23	        18	        64	        33
        15	        10	       659	        44
         3	        18	       489	       168
         6	        25	       110	       188
        28	        21	       142	        75
        20	        43	       503	       186
        30	        19	       772	       109
        21	        58	       764	        13
        12	        28	       742	       143
         6	        58	       687	       157
        12	        57	       441	        10
        18	         8	       286	       190
        29	        12	       185	       129
        23	        48	        48	        57
         3	        20	       454	       120
        14	        34	       549	        26
        31	        12	       694	        73
         6	         5	       175	        70
        30	         8	       484	       136
        16	         2	       222	         6
        14	        23	        63	       138
         7	        47	       731	       170
         4	        34	        67	       178
         4	        40	       269	        39
        20	         3	       585	         2
         8	        24	       780	        79
         0	        48	        23	        13
        18	        54	       223	       165
        13	        62	       455	        45
        14	         2	       479	        18
         4	        34	       676	       105
        11	        49	       396	        95
        20	        21	       250	       133
        13	         6	       164	       170
        23	        27	       767	        97
        17	        30	       330	       163
        28	        49	       756	       174
        20	        19	       220	        92
        22	         1	       289	        73
        18	        46	       288	        39
         3	        58	        68	        65
         1	        40	        31	       148
         3	        62	       513	       189
        28	        12	       756	        36
        29	        40	         3	       109
        27	        63	       170	       125
         0	        11	       594	        99
        25	        51	       634	        53
        13	        62	        78	        22
         6	        45	       326	        21
        11	         8	       222	        15
        20	        50	       671	       165
        26	         2	       291	        78
         2	        13	        39	        18
        24	        58	       405	        90
        13	        15	       239	       158
        13	        61	       553	       167
        10	        47	       445	        53
        23	        27	        92	        99
        14	        27	       541	       100
        30	        32	       798	        44
        13	         6	       226	        81
         0	        24	       791	       157
         7	        38	       199	        41
         3	        16	       104	       141
         0	         5	       674	        23
         1	        62	       675	       167
        26	        32	       119	       152
         0	        22	        24	        89
        28	        58	       466	       172
        18	        10	       681	       154
        16	        16	       431	        76
         1	        23	       577	        69
        29	         4	       184	       158
         2	        27	        77	        52
        27	         4	       436	        23
        26	        44	       328	       186
         7	        27	       306	       137
         5	        27	       563	       169
        12	        34	       393	        29
        26	        11	       782	       119
        15	         6	       725	         1
         2	         2	       206	       177
         6	         2	       441	       117
        15	         1	       343	       118
        28	        42	       175	        21
         5	         3	       375	       193
         5	         0	       574	       155
        11	        44	       438	       138
        19	        11	       716	       173
        13	        26	       466	        36
        28	        11	       597	       107
        13	        12	       449	       173
        22	        49	        75	       112
        20	         2	       205	       141
         2	        44	        25	       150
        24	        47	       328	       115
        27	        20	       576	       116
        14	        19	        28	        27
        30	        17	       214	       135
        30	        56	       629	       136
         9	         0	       752	       189
         2	        62	       470	        96
        10	        47	       338	        10
        31	        59	       302	       118
        15	        46	       194	       146
         1	        63	       521	        84
        16	        31	       203	        38
        23	        32	       131	        24
         0	        19	        61	       110
        17	        20	       775	        51
         3	        57	       670	       166
        20	        12	       732	       120
        26	        31	        34	        84
        30	        11	       348	       138
        10	        39	       221	       170
         8	        32	       194	       180
        19	        32	       427	        49
        20	        50	       672	       115
        11	        62	       762	        64
        10	        22	         4	       121
        21	        38	       545	         7
        17	        29	       482	       131
         4	        31	       285	       192
        31	        32	       469	       182
         0	         0	       535	         0
        18	        56	       651	       193
        22	         5	       477	        13
        28	        33	        38	        85
         7	         7	       421	        80
         4	        39	       308	       184
         6	        49	       469	        57
        17	        42	       119	        57
        10	        47	       645	       112
         7	        49	       665	        73
        22	        55	       286	       158
        24	        36	       516	       108
        11	         9	        24	        27
        16	        44	       568	         2
        30	        45	       123	       111
        23	        50	       321	        93
         1	         6	        61	       152
        23	        22	       582	        74
        13	         4	       704	        50
         9	        36	       710	       132
        13	        30	       196	        13
        11	        28	       755	        45
         9	        14	       152	        32
         1	        25	         1	       114
         0	        62	       587	        99
        20	        17	       133	        38
        21	         6	        72	        74
        10	        14	       691	       124
        12	        55	       373	       159
        19	         9	       384	        64
        23	        57	       796	       116
        18	        29	       507	       102
        27	        38	        10	       103
        23	        15	       721	        96
        21	        25	       491	        92
         7	        30	       120	        84
        21	        13	       331	        44
        22	        44	       644	        54
         5	         0	        70	       119
        29	         1	       522	       124
         7	        52	       263	       146
         3	        57	       299	         9
        18	        54	       313	       134
        20	        49	       206	        97
        30	        25	       785	       149
         5	        21	       291	        38
        21	         9	       482	        70
        11	        12	        74	       126
         0	        17	       561	        31
        10	        60	       380	        13
        18	        53	       119	        86
         6	        37	       239	        37
        30	         0	       314	       100
        21	        61	       590	       174
         6	        16	       348	       185
        28	         6	       132	       104
        23	        21	        32	        78
        17	        60	       447	         3
        18	        22	       201	       164
        27	        56	       349	        33
        24	        55	       189	        33
        20	        44	       407	       143
        28	        19	       556	        65
        25	        16	       597	        68
         5	        21	        82	       102
        18	        17	       761	       144
         7	         2	       444	       118
        26	        26	       508	        34
        17	        25	       351	       190
         5	        54	       577	        34
         9	        13	       667	       174
        30	        16	       243	        63
         6	        37	       762	         8
        23	        51	       348	        54
        22	        24	       449	       144
        18	        29	       323	       100
        22	        34	       682	        76
        25	        11	       670	       154
        24	        25	         5	        34
         9	        24	        90	        91
        29	        52	       295	       168
         7	         3	       691	       105
        28	        20	       622	        66
        17	        49	       274	       151
        19	        28	       291	       104
         7	        33	        15	         8
        26	        20	       438	        64
        12	        48	       211	        69
         4	        59	       734	       132
        30	        49	       489	       190
         5	        55	       169	         6
         8	        59	       573	       152
        24	         1	       296	        83
         2	        55	       735	        25
        11	        54	       545	       103
         6	        52	       609	       111
        15	        63	       407	       130
        16	         0	       712	        93
        24	        49	       555	        52
        13	         8	        60	         5
         9	         5	       100	        32
        28	         4	       713	         8
        26	        10	       223	       128
        30	        32	       107	        58
        31	         2	       604	       171
         3	        36	       388	        11
        22	        47	       251	        79
        24	        56	       360	        81
        29	        12	       397	        69
        16	        54	       161	        74
         0	         1	       331	        51
         1	        22	       621	       121
        25	         9	       400	        76
        13	        21	       247	       123
         4	        50	       230	       120
        10	        14	       478	       187
        27	        43	       737	        23
         2	        34	       470	        82
         3	        33	        97	       101
        23	        14	       358	        96
        23	        22	       716	       101
        11	         3	       744	        28
        22	        15	       492	       108
        29	        42	       168	        36
        22	        41	       388	        40
        11	        26	       698	       123
        27	        60	       308	        66
        10	        58	         3	       186
        16	        47	         7	       112
        19	        47	        12	        45
        30	        24	       329	        36
         3	        17	       532	       193
        26	        56	        17	        14
        18	        43	       213	         5
         7	        41	         0	       170
         3	         3	       692	        43
        18	        59	       495	       161
        10	        27	       462	        41
        20	        24	       389	        67
         9	        25	       624	       176
        18	        33	       362	        24
        12	        31	       626	        40
         8	        50	       102	       163
        21	        58	       702	        55
        21	        14	       269	        71
         9	        27	       136	        85
        19	        13	        20	       109
         7	        36	        65	       117
         5	        43	       381	       182
        10	        15	       518	        70
         1	        44	       189	       194
         6	        27	       478	         3
         9	        43	       314	        63
         6	         3	       528	       102
        16	         5	       375	        59
         9	        24	       336	       179
         3	        14	       481	         5
        29	         7	       575	       195
        19	        28	       437	       137
        23	        51	       500	       109
        30	        46	       756	        33
        17	        36	       159	       166
         9	        54	       537	       135
        14	        42	       418	       133
        24	         3	       222	        53
        10	        61	       692	         5
        25	        10	       758	       176
        29	        10	       625	       116
        24	        37	       321	        90
